Date,Description,Amount,Balance
11/13/2018 07:13PM,Hodgdon Reg 3 - Board,-1,74
11/13/2018 11:56AM,Pax et Lox Reg1 - Board,-1,75
11/13/2018 10:23AM,Hodgdon Reg 2 - Board,-1,76
11/11/2018 08:59AM,Carmichael Reg 2 - Board,-1,77
11/10/2018 12:53PM,Carmichael Reg 2 - Board,-1,78
11/09/2018 11:19AM,Carmichael Reg 1 - Board,-1,79
11/08/2018 05:05PM,Dewick Reg 1 - Board,-1,80
11/08/2018 11:51AM,Hodgdon Reg 2 - Board,-1,81
11/08/2018 10:20AM,Hodgdon Reg 2 - Board,-1,82
11/07/2018 06:15PM,Carmichael Reg 2 - Board,-1,83
11/07/2018 11:33AM,Dewick Reg 2 - Board,-1,84
11/06/2018 07:51PM,Hodgdon Reg 3 - Board,-1,85
11/06/2018 01:32PM,Dewick Reg 1 - Board,-1,86
11/06/2018 07:55AM,Carmichael Reg 2 - Board,-1,87
11/05/2018 09:05AM,Carmichael Reg 1 - Board,-1,88
11/04/2018 06:05PM,Carmichael Reg 1 - Board,-1,89
11/04/2018 08:39AM,Carmichael Reg 2 - Board,-1,90
11/03/2018 08:56AM,Dewick Reg 1 - Board,-1,91
11/01/2018 04:20PM,Hodgdon Reg 3 - Board,-1,92
11/01/2018 11:55AM,Hodgdon Reg 2 - Board,-1,93
10/31/2018 06:22PM,Dewick Reg 1 - Board,-1,94
10/30/2018 12:00PM,Pax et Lox Reg1 - Board,-1,95
10/28/2018 05:20PM,Carmichael Reg 1 - Board,-1,96
10/28/2018 11:30AM,Carmichael Reg 2 - Board,-1,97
10/27/2018 12:48PM,Carmichael Reg 2 - Board,-1,98
10/25/2018 11:54AM,Hodgdon Reg 2 - Board,-1,99
10/24/2018 08:33PM,Hodgdon Reg 3 - Board,-1,100
10/23/2018 07:11PM,Carmichael Reg 2 - Board,-1,101
10/23/2018 11:49AM,Pax et Lox Reg1 - Board,-1,102
10/22/2018 07:51PM,Dewick Reg 1 - Board,-1,103
10/22/2018 10:47AM,Carmichael Reg 1 - Board,-1,104
10/21/2018 06:02PM,Dewick Reg 1 - Board,-1,105
10/19/2018 10:58AM,Dewick Reg 1 - Board,-1,106
10/17/2018 06:28PM,Carmichael Reg 1 - Board,-1,107
10/16/2018 06:08PM,Hodgdon Reg 2 - Board,-1,108
10/16/2018 11:46AM,Hodgdon Reg 1 - Board,-1,109
10/15/2018 06:02PM,Hodgdon Reg 2 - Board,-1,110
10/13/2018 02:16PM,Carmichael Reg 2 - Board,-1,111
10/11/2018 11:54AM,Hodgdon Reg 2 - Board,-1,112
10/10/2018 06:25PM,Carmichael Reg 2 - Board,-1,113
10/10/2018 11:37AM,Carmichael Reg 1 - Board,-1,114
10/09/2018 11:06AM,Carmichael Reg 2 - Board,-1,115
10/07/2018 06:32PM,Carmichael Reg 2 - Board,-1,116
10/06/2018 12:41PM,Dewick Reg 1 - Board,-1,117
10/05/2018 12:55PM,Dewick Reg 1 - Board,-1,118
10/04/2018 11:55AM,Pax et Lox Reg1 - Board,-1,119
10/04/2018 08:06AM,Carmichael Reg 1 - Board,-1,120
10/03/2018 06:28PM,Hodgdon Reg 2 - Board,-1,121
10/03/2018 10:07AM,Carmichael Reg 2 - Board,-1,122
10/02/2018 06:31PM,Hodgdon Reg 2 - Board,-1,123
10/02/2018 11:49AM,Hodgdon Reg 2 - Board,-1,124
9/29/2018 12:00PM,Carmichael Reg 2 - Board,-1,125
9/29/2018 12:00PM,Carmichael Reg 2 - Board,-1,126
9/28/2018 03:01PM,Carmichael Reg 2 - Board,-1,127
9/28/2018 09:59AM,Carmichael Reg 2 - Board,-1,128
9/27/2018 05:38PM,Hodgdon Reg 3 - Board,-1,129
9/27/2018 11:49AM,Pax et Lox Reg1 - Board,-1,130
9/26/2018 06:18PM,Carmichael Reg 2 - Board,-1,131
9/26/2018 11:03AM,Carmichael Reg 1 - Board,-1,132
9/25/2018 07:44PM,Hodgdon Reg 3 - Board,-1,133
9/25/2018 11:49AM,Hodgdon Reg 3 - Board,-1,134
9/24/2018 07:39PM,Hodgdon Reg 3 - Board,-1,135
9/23/2018 06:20PM,Carmichael Reg 2 - Board,-1,136
9/22/2018 12:17PM,Carmichael Reg 2 - Board,-1,137
9/21/2018 11:42AM,Carmichael Reg 2 - Board,-1,138
9/20/2018 11:28AM,Pax et Lox Reg1 - Board,-1,139
9/19/2018 11:45AM,Carmichael Reg 1 - Board,-1,140
9/18/2018 07:02PM,Dewick Reg 2 - Board,-1,141
9/17/2018 08:43PM,Hodgdon Reg 2 - Board,-1,142
9/17/2018 11:55AM,Hodgdon Reg 2 - Board,-1,143
9/16/2018 06:35PM,Dewick Reg 1 - Board,-1,144
9/16/2018 12:54PM,Dewick Reg 1 - Board,-1,145
9/15/2018 06:25PM,Carmichael Reg 1 - Board,-1,146
9/15/2018 11:13AM,Carmichael Reg 2 - Board,-1,147
9/14/2018 12:45PM,Hodgdon Reg 3 - Board,-1,148
9/13/2018 11:48AM,Pax et Lox Reg1 - Board,-1,149
9/12/2018 07:05PM,Hodgdon Reg 3 - Board,-1,150
9/10/2018 09:07PM,Hodgdon Reg 2 - Board,-1,151
9/10/2018 11:49AM,Dewick Reg 1 - Board,-1,152
9/09/2018 06:34PM,Carmichael Reg 2 - Board,-1,153
9/08/2018 11:07AM,Dewick Reg 1 - Board,-1,154
9/07/2018 12:58PM,Dewick Reg 1 - Board,-1,155
9/06/2018 07:31AM,Carmichael Reg 1 - Board,-1,156
9/05/2018 06:59PM,Hodgdon Reg 2 - Board,-1,157
9/04/2018 05:30PM,Dewick Reg 1 - Board,-1,158
9/03/2018 07:06PM,Carmichael Reg 1 - Board,-1,159
5/12/2018 11:21AM,Carmichael Reg 2 - Board,-1,2
5/12/2018 08:17AM,Carmichael Reg 2 - Board,-1,3
5/11/2018 06:12PM,Carmichael Reg 2 - Board,-1,4
5/11/2018 06:12PM,Carmichael Reg 2 - Board,-1,5
5/11/2018 11:15AM,Carmichael Reg 1 - Board,-1,6
5/11/2018 09:40AM,Carmichael Reg 1 - Board,-1,7
5/10/2018 12:40PM,Carmichael Reg 2 - Board,-1,8
5/10/2018 09:59AM,Carmichael Reg 1 - Board,-1,9
5/09/2018 12:09PM,Carmichael Reg 2 - Board,-1,10
5/09/2018 09:23AM,SMFA Cafe Reg 1 - Board,-1,11
5/08/2018 09:25PM,Hodgdon Reg 3 - Board,-1,12
5/08/2018 09:23AM,Carmichael Reg 2 - Board,-1,13
5/07/2018 07:53PM,Dewick Reg 1 - Board,-1,14
5/07/2018 07:53PM,Dewick Reg 1 - Board,-1,15
5/07/2018 12:50PM,Carmichael Reg 2 - Board,-1,16
5/07/2018 09:25AM,Dewick Reg 1 - Board,-1,17
5/06/2018 06:43PM,Carmichael Reg 1 - Board,-1,18
5/06/2018 11:35AM,Carmichael Reg 2 - Board,-1,19
5/05/2018 01:09PM,Carmichael Reg 1 - Board,-1,20
5/05/2018 08:56AM,Dewick Reg 1 - Board,-1,21
5/04/2018 05:49PM,Dewick Reg 2 - Board,-1,22
5/04/2018 12:41PM,Carmichael Reg 1 - Board,-1,23
5/03/2018 05:51PM,Dewick Reg 2 - Board,-1,24
5/02/2018 08:55PM,Hodgdon Reg 2 - Board,-1,25
