Date,Description,Amount,Balance
11/07/2018 02:08PM,Pax et Lox Reg1 - Board,-1,43
11/06/2018 01:50PM,Pax et Lox Reg1 - Board,-1,44
11/05/2018 06:11PM,Dewick Reg 1 - Board,-1,45
11/04/2018 05:19PM,Dewick Reg 1 - Board,-1,46
10/30/2018 07:16PM,Pax et Lox Reg1 - Board,-1,47
10/29/2018 05:55PM,Pax et Lox Reg1 - Board,-1,48
10/27/2018 12:43PM,Carmichael Reg 2 - Board,-1,49
10/26/2018 05:55PM,Dewick Reg 1 - Board,-1,50
10/26/2018 05:55PM,Dewick Reg 1 - Board,-1,51
10/26/2018 05:55PM,Dewick Reg 1 - Board,-1,52
10/25/2018 06:08PM,Pax et Lox Reg1 - Board,-1,53
10/24/2018 05:55PM,Dewick Reg 1 - Board,-1,54
10/23/2018 06:26PM,Dewick Reg 1 - Board,-1,55
10/23/2018 06:26PM,Dewick Reg 1 - Board,-1,56
10/23/2018 01:54PM,Pax et Lox Reg1 - Board,-1,57
10/21/2018 06:26PM,Dewick Reg 2 - Board,-1,58
10/17/2018 05:54PM,Pax et Lox Reg1 - Board,-1,59
10/16/2018 01:51PM,Pax et Lox Reg1 - Board,-1,60
10/15/2018 05:45PM,Dewick Reg 1 - Board,-1,61
10/15/2018 11:34AM,Pax et Lox Reg1 - Board,-1,62
10/14/2018 07:08PM,Dewick Reg 1 - Board,-1,63
10/10/2018 05:30PM,Carmichael Reg 2 - Board,-1,64
10/08/2018 05:56PM,Dewick Reg 1 - Board,-1,65
10/04/2018 03:02PM,Pax et Lox Reg1 - Board,-1,66
10/03/2018 05:27PM,Pax et Lox Reg1 - Board,-1,67
10/01/2018 05:54PM,Carmichael Reg 1 - Board,-1,68
10/01/2018 05:54PM,Carmichael Reg 1 - Board,-1,69
9/30/2018 05:33PM,Dewick Reg 1 - Board,-1,70
9/20/2018 07:43PM,Pax et Lox Reg1 - Board,-1,71
9/18/2018 08:00PM,Hodgdon Reg 2 - Board,-1,72
9/18/2018 01:40PM,Dewick Reg 1 - Board,-1,73
9/17/2018 01:16PM,Pax et Lox Reg1 - Board,-1,74
9/14/2018 02:02PM,Dewick Reg 2 - Board,-1,75
9/10/2018 06:06PM,Hodgdon Reg 2 - Board,-1,76
9/06/2018 07:21PM,Pax et Lox Reg1 - Board,-1,77
9/04/2018 04:18PM,Carmichael Reg 1 - Board,-1,78
9/03/2018 06:58PM,Dewick Reg 2 - Board,-1,79
