Date,Description,Amount,Balance
11/08/2018 06:35PM,Dewick Reg 1-Regular,-1,79
11/08/2018 10:34AM,Carmichael Reg 1-Regular,-1,80
11/07/2018 06:32PM,Carmichael Reg 1 - Board,-1,81
11/07/2018 11:33AM,Dewick Reg 2 - Board,-1,82
11/06/2018 06:52PM,Dewick Reg 1 - Board,-1,83
11/06/2018 01:21PM,Dewick Reg 2 - Board,-1,84
11/05/2018 05:36PM,Hodgdon Reg 3 - Board,-1,85
11/05/2018 11:20AM,Dewick Reg 2 - Board,-1,86
11/04/2018 07:00PM,Dewick Reg 1 - Board,-1,87
11/03/2018 12:16PM,Dewick Reg 1 - Board,-1,88
11/01/2018 08:20AM,Dewick Reg 1 - Board,-1,89
10/30/2018 05:20PM,Dewick Reg 1 - Board,-1,90
10/29/2018 05:31PM,Pax et Lox Reg1 - Board,-1,91
10/29/2018 11:27AM,Pax et Lox Reg1 - Board,-1,92
10/28/2018 06:02PM,Dewick Reg 1 - Board,-1,93
10/28/2018 10:49AM,Carmichael Reg 2 - Board,-1,94
10/27/2018 06:14PM,Dewick Reg 1 - Board,-1,95
10/26/2018 01:51PM,Dewick Reg 2 - Board,-1,96
10/26/2018 08:43AM,Carmichael Reg 2 - Board,-1,97
10/25/2018 07:14PM,Dewick Reg 1 - Board,-1,98
10/25/2018 01:03PM,Pax et Lox Reg1 - Board,-1,99
10/24/2018 07:02PM,Dewick Reg 2 - Board,-1,100
10/23/2018 06:37PM,Hodgdon Reg 1 - Board,-1,101
10/22/2018 05:27PM,Pax et Lox Reg1 - Board,-1,102
10/22/2018 11:30AM,Dewick Reg 1 - Board,-1,103
10/21/2018 10:28AM,Carmichael Reg 2 - Board,-1,104
10/20/2018 12:37PM,Dewick Reg 1 - Board,-1,105
10/19/2018 07:25PM,Dewick Reg 1 - Board,-1,106
10/18/2018 06:07PM,Dewick Reg 1 - Board,-1,107
10/17/2018 06:39PM,Dewick Reg 1 - Board,-1,108
10/17/2018 01:14PM,Hodgdon Reg 2 - Board,-1,109
10/16/2018 07:34PM,Dewick Reg 1 - Board,-1,110
10/16/2018 01:27PM,Hodgdon Reg 2 - Board,-1,111
10/15/2018 05:30PM,Hodgdon Reg 3 - Board,-1,112
10/14/2018 09:15AM,Carmichael Reg 1 - Board,-1,113
10/13/2018 02:13PM,Carmichael Reg 2 - Board,-1,114
10/11/2018 06:51PM,Pax et Lox Reg1 - Board,-1,115
10/11/2018 01:16PM,Pax et Lox Reg1 - Board,-1,116
10/10/2018 07:13PM,Pax et Lox Reg1 - Board,-1,117
10/09/2018 06:11PM,Hodgdon Reg 2 - Board,-1,118
10/09/2018 11:37AM,Dewick Reg 1 - Board,-1,119
10/06/2018 07:00PM,Dewick Reg 1 - Board,-1,120
10/05/2018 08:54AM,Dewick Reg 1 - Board,-1,121
10/04/2018 06:24PM,Dewick Reg 1 - Board,-1,122
10/04/2018 10:33AM,Carmichael Reg 1 - Board,-1,123
10/03/2018 11:30AM,Pax et Lox Reg1 - Board,-1,124
10/02/2018 08:43AM,Dewick Reg 1 - Board,-1,125
10/01/2018 05:28PM,Hodgdon Reg 2 - Board,-1,126
10/01/2018 09:30AM,Dewick Reg 1 - Board,-1,127
9/30/2018 06:27PM,Carmichael Reg 1 - Board,-1,128
9/30/2018 11:17AM,Dewick Reg 1 - Board,-1,129
9/29/2018 09:18AM,Dewick Reg 1 - Board,-1,130
9/27/2018 06:02PM,Dewick Reg 2 - Board,-1,131
9/27/2018 10:19AM,Carmichael OPRMDIN-108 - Board,-1,132
9/26/2018 07:10PM,Carmichael Reg 2 - Board,-1,133
9/26/2018 11:59AM,Hodgdon Reg 3 - Board,-1,134
9/24/2018 08:26AM,Dewick Reg 1 - Board,-1,135
9/23/2018 06:59PM,Carmichael Reg 2 - Board,-1,136
9/21/2018 09:30AM,Dewick Reg 1 - Board,-1,137
9/20/2018 05:37PM,Dewick Reg 1 - Board,-1,138
9/18/2018 07:09PM,Dewick Reg 2 - Board,-1,139
9/18/2018 08:13AM,Dewick Reg 1 - Board,-1,140
9/17/2018 09:41AM,Dewick Reg 1 - Board,-1,141
9/17/2018 09:30AM,Dewick Reg 1 - Board,-1,142
9/16/2018 11:04AM,Dewick Reg 1 - Board,-1,143
9/15/2018 07:31PM,Dewick Reg 2 - Board,-1,144
9/14/2018 12:50PM,Dewick Reg 2 - Board,-1,145
9/13/2018 06:21PM,Carmichael Reg 1 - Board,-1,146
9/12/2018 07:03PM,Hodgdon Reg 2 - Board,-1,147
9/12/2018 11:34AM,Hodgdon Reg 2 - Board,-1,148
9/11/2018 05:56PM,Dewick Reg 1 - Board,-1,149
9/10/2018 07:11PM,Carmichael Reg 2 - Board,-1,150
9/10/2018 11:39AM,Dewick Reg 1 - Board,-1,151
9/07/2018 06:06PM,Carmichael Reg 2 - Board,-1,152
9/06/2018 08:09AM,Dewick Reg 1 - Board,-1,153
9/05/2018 06:19PM,Carmichael Reg 2 - Board,-1,154
9/05/2018 01:00PM,Pax et Lox Reg1 - Board,-1,155
9/04/2018 05:12PM,Dewick Reg 1 - Board,-1,156
9/04/2018 08:03AM,Carmichael Reg 1 - Board,-1,157
9/03/2018 06:30PM,Carmichael Reg 2 - Board,-1,158
9/03/2018 12:45PM,Dewick Reg 1 - Board,-1,159
